Unnamed: 0,host_response_time,host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_cleanliness,instant_bookable,reviews_per_month
3049,2,91.0,1,22,17,0,2,0,1.0,1.0,54,5,185,263,77,4.91,4.86,0,0.95
3055,2,98.0,1,8,9,0,2,0,1.0,1.0,411,2,1125,347,50,4.4,4.14,0,0.51
3061,1,72.0,1,9,38,2,1,2,1.0,1.0,37,4,1125,345,75,4.91,4.89,0,0.75
3062,1,68.0,1,23,44,2,2,0,1.0,1.0,150,1,1125,163,0,4.74234347618289,4.717493222771488,0,0.0
3073,2,75.0,1,17,38,2,2,1,1.0,1.0,60,1,1125,320,102,4.99,4.98,0,1.16
3075,2,65.0,0,22,48,2,2,2,1.0,1.0,40,3,1125,228,5,5.0,5.0,0,0.07
3084,2,100.0,0,29,44,2,2,2,1.0,1.0,42,5,1125,29,178,4.37,4.28,0,1.77
3086,0,0.0,0,22,17,0,4,0,2.0,2.0,150,2,1125,194,32,4.78,4.75,0,0.33
3087,1,100.0,0,21,17,0,2,0,1.0,1.0,90,5,14,6,12,4.92,4.83,0,0.14
3093,2,100.0,1,21,19,0,12,0,6.0,6.0,391,3,45,196,212,4.76,4.78,0,2.1
3096,1,85.0,0,19,17,0,4,0,2.0,3.0,400,5,1125,343,18,4.81,4.73,0,0.2
3099,2,56.0,1,13,38,2,1,2,1.0,1.0,43,3,14,359,33,4.85,4.41,0,0.38
3103,2,100.0,0,32,17,0,4,0,2.0,3.0,266,3,30,78,61,4.9,4.97,0,0.89
3106,2,100.0,0,10,38,2,2,2,1.0,1.0,24,1,1125,327,188,4.52,4.32,1,3.9
3114,2,100.0,0,23,38,2,4,2,1.0,4.0,54,3,365,347,85,4.41,4.16,1,0.95
3116,1,75.0,1,21,17,0,4,0,2.0,2.0,175,20,90,314,56,4.91,4.89,0,0.6
